MTH,WRKDATE,YR,DIV,DIV_NAME,TYPE,TASK,WO,CRTDAT,EQ,FCT,LINE,SHOP,TRADE,HRS,period,perno,CRTYR,CRTMTH
4,14-04-24,2014,151,Cascades Papier Kingsey Falls,CA,          ,1412262   ,1140331,CYL0576        ,KPRES004                      ,KHUM      ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-23,2014,151,Cascades Papier Kingsey Falls,CA,          ,1412262   ,1140331,CYL0576        ,KPRES004                      ,KHUM      ,SINST,MECA,6,2014-04,74,2014,03
4,14-04-22,2014,151,Cascades Papier Kingsey Falls,CA,          ,1412262   ,1140331,CYL0576        ,KPRES004                      ,KHUM      ,SINST,MECA,3,2014-04,74,2014,03
4,14-04-15,2014,151,Cascades Papier Kingsey Falls,CA,          ,1412262   ,1140331,CYL0576        ,KPRES004                      ,KHUM      ,SINST,MECA,2,2014-04,74,2014,03
4,14-04-02,2014,151,Cascades Papier Kingsey Falls,C3,          ,1412262-01,1140401,CYL0576        ,KPRES004                      ,KHUM      ,SINST,MECA,2,2014-04,74,2014,04
4,14-04-15,2014,161,Cascades Groupe Tissu KF Mac 1,C3,          ,1412405-01,1140404,TAB0101        ,IEXTR101C/1                   ,ILIC1     ,SINST,MECA,6,2014-04,74,2014,04
4,14-04-14,2014,161,Cascades Groupe Tissu KF Mac 1,C3,          ,1412405-01,1140404,TAB0101        ,IEXTR101C/1                   ,ILIC1     ,SINST,MECA,2,2014-04,74,2014,04
4,14-04-09,2014,117,CSA - Electro-Instrum.,D3,          ,1412419   ,1140402,038-FORM_ELEC  ,SFACT001                      ,SATEL     ,SINST,MECA,4,2014-04,74,2014,04
6,14-06-12,2014,165,CGT-KF Perini 1,C3,          ,1412432   ,1140402,COL0002        ,ICOLL501                      ,IHYG1     ,SELEC,MOTEUR,4,2014-06,67,2014,04
6,14-06-09,2014,Z99,Zurn & Simoneau,M3,          ,1412441   ,1140402,VAL0219        ,ECHAU001                      ,ECOGGEN   ,SINST,MECA,2,2014-06,67,2014,04
8,14-08-14,2014,Z99,Zurn & Simoneau,M3,          ,1412442-03,1140728,ERESE001-M     ,ERESE001                      ,ECOGSIM   ,SINST,MECA,2,2014-08,73,2014,07
4,14-04-14,2014,101,Cascades EC - Kingsey Falls,C3,          ,1412485   ,1140403,CYL1131        ,DTABL241                      ,DRLETTE   ,SINST,MECA,3,2014-04,74,2014,04
4,14-04-25,2014,118,Cascades Canada - Trait. eaux,C3,          ,1412595   ,1140404,VAL0028        ,THVP003                       ,TUSINE    ,SINST,MECA,2,2014-04,74,2014,04
4,14-04-16,2014,101,Cascades EC - Kingsey Falls,CA,          ,1412606   ,1140404,DUHYD200-M     ,DUHYD200                      ,DBOB2     ,SINST,MECA,2,2014-04,74,2014,04
4,14-04-07,2014,132,CSA - Administration,D3,          ,1412609   ,1140404,038-REUN_MECA  ,SFACT001                      ,SATEL     ,SINST,MECA,2,2014-04,74,2014,04
4,14-04-07,2014,132,CSA - Administration,D3,          ,1412609   ,1140404,038-REUN_MECA  ,SFACT001                      ,SATEL     ,SELEC,MOTEUR,2,2014-04,74,2014,04
4,14-04-07,2014,132,CSA - Administration,D3,          ,1412609   ,1140404,038-REUN_MECA  ,SFACT001                      ,SATEL     ,SINST,MECA,2,2014-04,74,2014,04
